nbElements: 200
index, hauteurTotale, largeurTotale, hauteurInterGondsGauche, hauteurGondSommetGauche, hauteurInterGondsDroite, hauteurGondSommetDroite, 
0, 2110, 1489, 684, 465, 676, 474, 
1, 2111, 1478, 701, 480, 677, 491, 
2, 2102, 1487, 679, 483, 703, 474, 
3, 2111, 1489, 661, 492, 675, 483, 
4, 2095, 1483, 680, 470, 657, 496, 
5, 2109, 1465, 652, 480, 677, 476, 
6, 2103, 1485, 694, 469, 656, 499, 
7, 2114, 1491, 667, 477, 675, 467, 
8, 2104, 1487, 681, 484, 683, 485, 
9, 2104, 1479, 677, 480, 676, 469, 
10, 2105, 1481, 648, 493, 680, 478, 
11, 2112, 1490, 657, 496, 694, 475, 
12, 2114, 1484, 658, 487, 686, 480, 
13, 2102, 1474, 688, 480, 658, 473, 
14, 2110, 1472, 657, 485, 691, 469, 
15, 2108, 1484, 655, 486, 682, 472, 
16, 2105, 1481, 685, 476, 670, 494, 
17, 2110, 1487, 692, 468, 656, 489, 
18, 2095, 1503, 661, 482, 697, 477, 
19, 2103, 1475, 654, 488, 695, 474, 
20, 2106, 1478, 680, 480, 672, 489, 
21, 2111, 1483, 661, 493, 674, 479, 
22, 2107, 1466, 670, 492, 688, 467, 
23, 2103, 1492, 681, 484, 666, 485, 
24, 2099, 1498, 667, 476, 685, 479, 
25, 2102, 1479, 682, 483, 682, 474, 
26, 2099, 1482, 675, 475, 661, 480, 
27, 2109, 1477, 664, 468, 676, 477, 
28, 2108, 1498, 669, 475, 699, 465, 
29, 2100, 1485, 678, 483, 698, 478, 
30, 2108, 1488, 664, 480, 685, 469, 
31, 2105, 1482, 657, 476, 676, 472, 
32, 2107, 1469, 699, 469, 668, 482, 
33, 2107, 1492, 695, 466, 684, 466, 
34, 2106, 1492, 699, 471, 660, 480, 
35, 2105, 1474, 680, 480, 665, 484, 
36, 2095, 1482, 662, 490, 679, 481, 
37, 2105, 1489, 659, 481, 681, 476, 
38, 2097, 1472, 683, 475, 651, 495, 
39, 2104, 1480, 686, 477, 658, 491, 
40, 2104, 1488, 677, 480, 671, 474, 
41, 2098, 1479, 690, 478, 650, 488, 
42, 2104, 1495, 681, 479, 653, 484, 
43, 2106, 1491, 668, 470, 694, 474, 
44, 2112, 1496, 665, 483, 677, 468, 
45, 2109, 1484, 699, 473, 669, 472, 
46, 2111, 1476, 684, 465, 648, 501, 
47, 2103, 1503, 682, 481, 653, 479, 
48, 2109, 1486, 685, 472, 675, 479, 
49, 2111, 1496, 666, 466, 670, 490, 
50, 2110, 1489, 662, 486, 684, 485, 
51, 2108, 1483, 655, 498, 695, 485, 
52, 2113, 1480, 677, 480, 662, 488, 
53, 2114, 1482, 678, 479, 654, 482, 
54, 2115, 1493, 668, 483, 691, 483, 
55, 2113, 1483, 674, 474, 659, 492, 
56, 2107, 1476, 678, 474, 661, 491, 
57, 2110, 1484, 665, 472, 686, 481, 
58, 2106, 1485, 672, 484, 669, 465, 
59, 2107, 1482, 675, 490, 677, 485, 
60, 2111, 1492, 692, 480, 661, 481, 
61, 2105, 1480, 684, 475, 653, 494, 
62, 2102, 1496, 655, 494, 683, 465, 
63, 2104, 1485, 655, 482, 690, 471, 
64, 2111, 1469, 681, 474, 701, 485, 
65, 2105, 1473, 675, 476, 691, 469, 
66, 2111, 1485, 676, 484, 672, 479, 
67, 2108, 1469, 660, 483, 688, 477, 
68, 2111, 1475, 673, 482, 698, 473, 
69, 2105, 1490, 686, 478, 651, 490, 
70, 2112, 1489, 692, 481, 662, 480, 
71, 2106, 1481, 685, 468, 678, 483, 
72, 2104, 1486, 681, 472, 690, 480, 
73, 2098, 1460, 667, 480, 668, 481, 
74, 2096, 1494, 678, 474, 674, 480, 
75, 2114, 1495, 667, 477, 686, 475, 
76, 2111, 1472, 669, 478, 690, 478, 
77, 2107, 1480, 658, 500, 680, 480, 
78, 2109, 1479, 675, 478, 695, 485, 
79, 2100, 1480, 677, 473, 661, 495, 
80, 2112, 1489, 669, 497, 691, 478, 
81, 2110, 1479, 687, 470, 671, 473, 
82, 2108, 1493, 672, 470, 657, 504, 
83, 2107, 1485, 678, 477, 680, 489, 
84, 2108, 1487, 645, 489, 689, 484, 
85, 2108, 1488, 668, 474, 682, 476, 
86, 2104, 1475, 689, 484, 668, 473, 
87, 2112, 1485, 652, 494, 690, 481, 
88, 2095, 1479, 687, 465, 668, 484, 
89, 2112, 1479, 664, 488, 688, 477, 
90, 2097, 1481, 651, 498, 679, 469, 
91, 2104, 1496, 680, 467, 691, 480, 
92, 2111, 1476, 677, 468, 651, 487, 
93, 2104, 1493, 679, 479, 667, 474, 
94, 2113, 1475, 696, 465, 665, 497, 
95, 2106, 1467, 681, 479, 672, 496, 
96, 2092, 1498, 689, 477, 657, 494, 
97, 2099, 1479, 664, 480, 690, 479, 
98, 2095, 1489, 685, 476, 658, 481, 
99, 2095, 1476, 671, 485, 686, 469, 
100, 2114, 1479, 677, 486, 678, 483, 
101, 2113, 1488, 663, 484, 694, 475, 
102, 2103, 1489, 687, 472, 674, 474, 
103, 2111, 1488, 682, 470, 654, 497, 
104, 2105, 1483, 679, 480, 663, 488, 
105, 2109, 1499, 658, 491, 684, 465, 
106, 2099, 1488, 680, 465, 665, 494, 
107, 2099, 1485, 674, 478, 683, 465, 
108, 2108, 1484, 661, 495, 679, 477, 
109, 2103, 1481, 694, 474, 667, 485, 
110, 2094, 1474, 693, 485, 676, 478, 
111, 2110, 1476, 670, 472, 675, 483, 
112, 2100, 1475, 691, 467, 670, 473, 
113, 2103, 1476, 688, 466, 658, 496, 
114, 2108, 1479, 661, 480, 684, 473, 
115, 2107, 1469, 666, 487, 667, 475, 
116, 2106, 1474, 677, 466, 667, 487, 
117, 2096, 1468, 680, 465, 666, 488, 
118, 2113, 1477, 686, 468, 663, 496, 
119, 2111, 1476, 678, 484, 656, 482, 
120, 2108, 1492, 655, 491, 691, 476, 
121, 2114, 1482, 678, 478, 660, 482, 
122, 2109, 1475, 677, 470, 681, 472, 
123, 2108, 1488, 679, 483, 693, 478, 
124, 2111, 1481, 662, 486, 679, 472, 
125, 2102, 1466, 677, 469, 679, 486, 
126, 2102, 1500, 655, 481, 683, 482, 
127, 2114, 1488, 705, 484, 663, 488, 
128, 2113, 1483, 664, 498, 701, 469, 
129, 2107, 1470, 692, 465, 670, 487, 
130, 2113, 1497, 667, 468, 668, 495, 
131, 2108, 1486, 672, 483, 693, 466, 
132, 2106, 1488, 665, 479, 667, 478, 
133, 2106, 1467, 673, 470, 670, 475, 
134, 2110, 1476, 659, 489, 670, 484, 
135, 2103, 1475, 687, 473, 653, 504, 
136, 2105, 1485, 651, 500, 680, 471, 
137, 2097, 1488, 692, 469, 663, 487, 
138, 2100, 1489, 686, 471, 673, 484, 
139, 2110, 1476, 665, 476, 680, 479, 
140, 2097, 1470, 669, 491, 680, 482, 
141, 2101, 1497, 652, 481, 690, 482, 
142, 2106, 1468, 669, 477, 679, 472, 
143, 2109, 1481, 663, 470, 674, 475, 
144, 2104, 1467, 681, 475, 654, 495, 
145, 2101, 1481, 686, 478, 667, 487, 
146, 2104, 1483, 677, 476, 684, 468, 
147, 2112, 1482, 696, 475, 662, 485, 
148, 2107, 1478, 676, 474, 655, 497, 
149, 2110, 1481, 679, 486, 692, 483, 
150, 2112, 1475, 685, 475, 657, 491, 
151, 2111, 1497, 680, 473, 686, 477, 
152, 2097, 1462, 681, 482, 677, 489, 
153, 2100, 1485, 681, 473, 677, 466, 
154, 2109, 1498, 664, 484, 691, 484, 
155, 2106, 1486, 676, 476, 673, 479, 
156, 2109, 1486, 664, 466, 678, 484, 
157, 2103, 1478, 663, 500, 696, 473, 
158, 2106, 1490, 689, 485, 665, 493, 
159, 2106, 1482, 673, 478, 659, 489, 
160, 2104, 1484, 675, 483, 681, 466, 
161, 2102, 1486, 652, 500, 683, 483, 
162, 2106, 1474, 666, 495, 676, 485, 
163, 2110, 1475, 683, 470, 657, 486, 
164, 2097, 1490, 666, 482, 694, 470, 
165, 2112, 1490, 703, 478, 653, 491, 
166, 2110, 1487, 664, 484, 675, 474, 
167, 2113, 1480, 684, 473, 675, 482, 
168, 2101, 1497, 686, 474, 663, 490, 
169, 2112, 1478, 652, 499, 684, 466, 
170, 2105, 1496, 674, 482, 672, 477, 
171, 2100, 1484, 701, 466, 673, 479, 
172, 2100, 1482, 670, 491, 690, 472, 
173, 2105, 1483, 666, 488, 684, 485, 
174, 2107, 1482, 666, 489, 680, 468, 
175, 2112, 1470, 659, 482, 681, 465, 
176, 2097, 1492, 683, 485, 653, 489, 
177, 2110, 1466, 658, 491, 685, 475, 
178, 2108, 1479, 664, 499, 678, 480, 
179, 2104, 1481, 687, 476, 684, 466, 
180, 2101, 1481, 690, 485, 670, 482, 
181, 2106, 1484, 661, 485, 688, 466, 
182, 2104, 1500, 684, 484, 651, 496, 
183, 2113, 1474, 666, 491, 689, 473, 
