nbElements: 200
index, hauteurTotale, hauteurGondSommet, hauteurInterGonds, largeur, 
0, 2110, 477, 670, 749, 
1, 2107, 466, 669, 736, 
2, 2098, 468, 676, 745, 
3, 2107, 485, 681, 742, 
4, 2106, 475, 665, 732, 
5, 2093, 468, 672, 740, 
6, 2096, 483, 681, 737, 
7, 2102, 482, 667, 748, 
8, 2102, 482, 682, 740, 
9, 2095, 469, 667, 743, 
10, 2091, 479, 684, 747, 
11, 2105, 469, 673, 744, 
12, 2092, 472, 673, 737, 
13, 2098, 479, 665, 749, 
14, 2106, 477, 669, 734, 
15, 2096, 474, 680, 739, 
16, 2096, 465, 668, 749, 
17, 2104, 476, 665, 732, 
18, 2091, 481, 668, 734, 
19, 2102, 476, 668, 744, 
20, 2101, 470, 667, 747, 
21, 2102, 476, 685, 742, 
22, 2102, 471, 682, 746, 
23, 2097, 481, 677, 736, 
24, 2106, 473, 678, 736, 
25, 2099, 475, 666, 735, 
26, 2103, 476, 685, 737, 
27, 2096, 478, 684, 741, 
28, 2108, 483, 665, 735, 
29, 2092, 476, 670, 731, 
30, 2097, 485, 684, 738, 
31, 2103, 477, 680, 733, 
32, 2106, 479, 672, 744, 
33, 2098, 471, 670, 738, 
34, 2106, 485, 683, 744, 
35, 2107, 477, 670, 730, 
36, 2095, 482, 678, 731, 
37, 2092, 469, 685, 738, 
38, 2109, 484, 682, 744, 
39, 2092, 483, 682, 742, 
40, 2096, 467, 673, 737, 
41, 2099, 479, 673, 738, 
42, 2090, 470, 682, 737, 
43, 2095, 481, 682, 746, 
44, 2109, 469, 669, 735, 
45, 2090, 484, 679, 739, 
46, 2095, 474, 677, 740, 
47, 2108, 485, 676, 741, 
48, 2093, 484, 667, 732, 
49, 2102, 474, 671, 730, 
50, 2105, 476, 675, 742, 
51, 2097, 483, 685, 742, 
52, 2093, 468, 673, 730, 
53, 2099, 485, 666, 748, 
54, 2094, 474, 678, 738, 
55, 2103, 475, 681, 742, 
56, 2093, 481, 673, 733, 
57, 2103, 483, 685, 733, 
58, 2103, 472, 669, 734, 
59, 2096, 471, 667, 737, 
60, 2092, 485, 674, 738, 
61, 2093, 476, 672, 746, 
62, 2096, 482, 671, 748, 
63, 2101, 483, 681, 733, 
64, 2110, 475, 676, 743, 
65, 2097, 471, 679, 738, 
66, 2102, 480, 678, 748, 
67, 2090, 475, 682, 744, 
68, 2091, 485, 665, 745, 
69, 2095, 477, 679, 750, 
70, 2094, 476, 671, 741, 
71, 2093, 485, 681, 732, 
72, 2106, 478, 665, 741, 
