nbElements: 200
index, hauteurTotale, hauteurGondSommet, hauteurInterGonds, largeur, 
0, 2107, 469, 675, 739, 
1, 2100, 473, 678, 748, 
2, 2108, 465, 667, 747, 
3, 2095, 480, 672, 740, 
4, 2101, 468, 669, 738, 
5, 2110, 479, 673, 732, 
6, 2101, 465, 682, 748, 
7, 2105, 468, 680, 746, 
8, 2095, 482, 684, 745, 
9, 2109, 468, 676, 750, 
10, 2092, 476, 668, 741, 
11, 2099, 478, 675, 742, 
12, 2099, 474, 679, 748, 
13, 2091, 484, 667, 743, 
14, 2106, 468, 683, 739, 
15, 2100, 468, 681, 742, 
16, 2092, 470, 665, 749, 
17, 2106, 481, 674, 736, 
18, 2102, 474, 679, 744, 
19, 2098, 465, 679, 743, 
20, 2108, 474, 665, 732, 
21, 2094, 479, 667, 749, 
22, 2095, 466, 682, 739, 
23, 2092, 474, 675, 730, 
24, 2110, 484, 679, 745, 
25, 2097, 480, 674, 738, 
26, 2105, 483, 668, 747, 
27, 2101, 484, 679, 750, 
28, 2103, 466, 678, 743, 
29, 2099, 474, 668, 732, 
30, 2098, 470, 669, 746, 
31, 2104, 475, 677, 731, 
32, 2092, 478, 670, 738, 
33, 2101, 468, 670, 746, 
34, 2106, 481, 677, 732, 
35, 2090, 485, 682, 738, 
36, 2092, 470, 670, 742, 
37, 2097, 484, 677, 749, 
38, 2091, 474, 678, 735, 
39, 2102, 477, 671, 743, 
40, 2104, 474, 666, 736, 
41, 2106, 467, 667, 730, 
42, 2099, 476, 681, 730, 
43, 2104, 475, 670, 747, 
44, 2102, 467, 675, 743, 
45, 2100, 468, 681, 741, 
46, 2105, 469, 668, 745, 
47, 2094, 476, 667, 746, 
48, 2102, 480, 672, 733, 
49, 2092, 472, 677, 745, 
50, 2108, 474, 667, 734, 
51, 2099, 465, 678, 746, 
52, 2101, 473, 684, 731, 
53, 2110, 470, 674, 748, 
54, 2105, 469, 665, 745, 
55, 2103, 465, 665, 738, 
56, 2094, 469, 677, 739, 
