nbElements: 200
index, hauteurTotale, largeurTotale, hauteurInterGondsGauche, hauteurGondSommetGauche, hauteurInterGondsDroite, hauteurGondSommetDroite, 
0, 2112, 1470, 663, 485, 695, 469, 
1, 2106, 1466, 670, 484, 687, 469, 
2, 2101, 1476, 652, 483, 701, 468, 
3, 2085, 1471, 678, 485, 672, 496, 
4, 2105, 1467, 689, 473, 661, 480, 
5, 2097, 1471, 671, 469, 645, 487, 
6, 2106, 1472, 684, 480, 665, 469, 
7, 2107, 1493, 678, 476, 664, 485, 
8, 2101, 1463, 689, 472, 667, 493, 
9, 2105, 1483, 654, 485, 679, 467, 
10, 2102, 1465, 672, 467, 683, 472, 
11, 2096, 1482, 664, 492, 681, 483, 
12, 2101, 1465, 659, 497, 673, 477, 
13, 2101, 1467, 691, 474, 678, 483, 
14, 2107, 1489, 663, 492, 696, 471, 
15, 2103, 1495, 685, 479, 648, 490, 
16, 2101, 1494, 664, 485, 676, 479, 
17, 2099, 1488, 672, 474, 677, 472, 
18, 2099, 1475, 663, 479, 681, 473, 
19, 2102, 1465, 680, 475, 676, 479, 
20, 2104, 1481, 660, 486, 685, 474, 
21, 2112, 1464, 669, 487, 685, 464, 
22, 2098, 1473, 692, 468, 659, 494, 
23, 2097, 1482, 688, 470, 658, 474, 
24, 2095, 1483, 691, 472, 648, 491, 
25, 2103, 1488, 653, 489, 686, 474, 
26, 2091, 1467, 652, 486, 690, 483, 
27, 2105, 1473, 649, 501, 680, 465, 
28, 2098, 1479, 661, 496, 685, 478, 
29, 2099, 1488, 672, 492, 690, 480, 
30, 2105, 1468, 697, 475, 662, 472, 
31, 2106, 1478, 654, 486, 688, 463, 
32, 2093, 1465, 668, 481, 662, 473, 
33, 2108, 1491, 688, 481, 670, 478, 
34, 2107, 1467, 679, 478, 669, 490, 
35, 2095, 1492, 686, 479, 666, 493, 
36, 2095, 1473, 667, 492, 685, 471, 
37, 2102, 1483, 663, 468, 688, 468, 
38, 2087, 1486, 685, 481, 676, 481, 
39, 2100, 1498, 665, 486, 685, 471, 
40, 2096, 1482, 653, 486, 678, 473, 
41, 2101, 1468, 687, 471, 672, 487, 
42, 2093, 1479, 685, 477, 660, 493, 
43, 2099, 1497, 691, 468, 665, 504, 
44, 2105, 1467, 661, 488, 700, 471, 
45, 2103, 1480, 672, 469, 675, 480, 
46, 2093, 1477, 679, 479, 672, 477, 
47, 2108, 1478, 699, 470, 659, 489, 
48, 2104, 1472, 689, 469, 655, 504, 
49, 2100, 1481, 693, 478, 681, 466, 
50, 2106, 1480, 652, 501, 684, 469, 
51, 2098, 1478, 650, 492, 689, 472, 
52, 2111, 1481, 666, 484, 698, 475, 
53, 2102, 1476, 674, 484, 692, 481, 
54, 2097, 1468, 668, 472, 694, 486, 
55, 2098, 1494, 693, 474, 677, 484, 
56, 2094, 1498, 693, 477, 668, 482, 
57, 2099, 1469, 696, 477, 650, 490, 
58, 2107, 1470, 679, 473, 670, 490, 
59, 2095, 1490, 673, 471, 687, 469, 
60, 2093, 1471, 675, 487, 683, 484, 
61, 2099, 1453, 692, 471, 678, 466, 
62, 2102, 1487, 656, 483, 687, 486, 
63, 2096, 1471, 687, 475, 673, 489, 
64, 2093, 1465, 690, 476, 668, 486, 
65, 2096, 1484, 681, 475, 663, 487, 
66, 2094, 1482, 672, 479, 684, 482, 
67, 2108, 1480, 673, 475, 692, 482, 
68, 2097, 1462, 669, 490, 686, 483, 
69, 2093, 1474, 657, 499, 688, 484, 
70, 2089, 1481, 692, 466, 665, 481, 
71, 2105, 1464, 650, 488, 681, 475, 
72, 2111, 1475, 691, 477, 674, 486, 
73, 2109, 1474, 697, 477, 674, 481, 
74, 2111, 1479, 672, 482, 658, 472, 
75, 2110, 1480, 668, 484, 687, 485, 
76, 2112, 1492, 667, 488, 687, 467, 
77, 2106, 1492, 659, 505, 702, 475, 
78, 2105, 1470, 666, 484, 685, 477, 
79, 2101, 1485, 662, 479, 686, 467, 
80, 2111, 1477, 692, 477, 655, 492, 
