nbElements: 200
index, hauteurTotale, hauteurGondSommet, hauteurInterGonds, largeur, 
0, 2110, 469, 674, 743, 
1, 2098, 482, 678, 730, 
2, 2100, 469, 668, 734, 
3, 2095, 485, 672, 743, 
4, 2090, 465, 667, 736, 
5, 2097, 484, 665, 749, 
6, 2108, 470, 666, 749, 
7, 2099, 466, 665, 740, 
8, 2091, 471, 679, 748, 
9, 2108, 484, 679, 739, 
10, 2099, 481, 675, 736, 
11, 2107, 465, 672, 741, 
12, 2090, 466, 674, 740, 
13, 2091, 475, 671, 735, 
14, 2099, 472, 672, 750, 
15, 2099, 465, 673, 744, 
16, 2090, 473, 683, 750, 
17, 2093, 481, 669, 733, 
18, 2099, 472, 680, 748, 
19, 2109, 478, 671, 746, 
20, 2101, 481, 673, 730, 
21, 2097, 474, 684, 746, 
22, 2110, 475, 679, 744, 
23, 2090, 471, 682, 739, 
24, 2095, 466, 682, 743, 
25, 2102, 481, 671, 745, 
26, 2095, 474, 678, 740, 
27, 2101, 479, 667, 741, 
28, 2103, 485, 684, 742, 
29, 2101, 470, 672, 734, 
30, 2101, 471, 675, 742, 
31, 2099, 470, 681, 735, 
32, 2090, 470, 668, 747, 
33, 2102, 469, 671, 735, 
34, 2091, 469, 681, 745, 
35, 2094, 466, 678, 740, 
36, 2094, 477, 667, 750, 
37, 2095, 481, 665, 750, 
38, 2094, 478, 677, 731, 
39, 2096, 483, 669, 736, 
40, 2107, 482, 685, 737, 
41, 2101, 467, 685, 750, 
42, 2099, 465, 683, 741, 
43, 2108, 476, 683, 744, 
44, 2102, 484, 683, 749, 
45, 2105, 467, 675, 750, 
46, 2093, 465, 683, 745, 
47, 2099, 483, 666, 731, 
48, 2106, 473, 680, 740, 
49, 2109, 474, 685, 737, 
50, 2103, 465, 681, 749, 
51, 2090, 475, 671, 742, 
52, 2103, 479, 670, 740, 
53, 2110, 484, 665, 736, 
54, 2107, 467, 668, 733, 
55, 2091, 485, 674, 740, 
56, 2107, 469, 684, 739, 
57, 2098, 472, 669, 735, 
58, 2108, 465, 668, 730, 
59, 2099, 485, 668, 736, 
60, 2095, 480, 666, 744, 
61, 2100, 476, 669, 745, 
62, 2094, 482, 678, 743, 
63, 2101, 478, 668, 734, 
64, 2096, 479, 684, 744, 
65, 2108, 466, 667, 737, 
66, 2099, 477, 674, 736, 
67, 2094, 484, 684, 739, 
68, 2095, 473, 675, 749, 
69, 2106, 468, 679, 734, 
70, 2095, 473, 678, 730, 
71, 2104, 484, 679, 732, 
72, 2096, 473, 678, 737, 
73, 2099, 469, 680, 750, 
74, 2090, 467, 675, 743, 
75, 2095, 475, 675, 749, 
76, 2092, 485, 672, 746, 
77, 2102, 465, 682, 749, 
78, 2091, 483, 677, 732, 
79, 2099, 474, 683, 750, 
80, 2105, 476, 671, 733, 
81, 2095, 476, 677, 742, 
82, 2101, 473, 679, 741, 
83, 2103, 469, 680, 732, 
84, 2103, 483, 671, 736, 
85, 2100, 468, 676, 744, 
86, 2107, 466, 680, 741, 
87, 2103, 466, 679, 738, 
88, 2096, 471, 677, 743, 
89, 2092, 474, 672, 750, 
90, 2091, 481, 685, 737, 
91, 2090, 480, 673, 744, 
92, 2098, 474, 670, 738, 
93, 2094, 468, 669, 738, 
94, 2109, 475, 679, 737, 
95, 2105, 470, 676, 747, 
96, 2107, 479, 680, 732, 
97, 2097, 485, 671, 748, 
98, 2110, 473, 680, 730, 
99, 2096, 480, 666, 734, 
100, 2093, 467, 667, 741, 
101, 2091, 483, 674, 744, 
102, 2094, 470, 665, 732, 
103, 2092, 475, 683, 745, 
104, 2106, 467, 679, 741, 
105, 2099, 474, 685, 745, 
106, 2110, 484, 674, 743, 
107, 2104, 477, 683, 738, 
108, 2096, 482, 666, 736, 
109, 2094, 485, 685, 744, 
110, 2092, 471, 682, 730, 
111, 2107, 477, 682, 749, 
112, 2097, 484, 673, 732, 
113, 2093, 482, 685, 730, 
114, 2101, 479, 684, 733, 
115, 2097, 472, 667, 747, 
116, 2100, 483, 667, 748, 
117, 2097, 468, 680, 741, 
118, 2107, 479, 679, 746, 
119, 2103, 472, 681, 749, 
120, 2101, 465, 672, 730, 
121, 2095, 470, 672, 746, 
122, 2103, 473, 678, 739, 
123, 2092, 471, 685, 741, 
124, 2101, 467, 684, 735, 
125, 2092, 482, 679, 737, 
126, 2102, 475, 672, 737, 
127, 2094, 483, 683, 737, 
128, 2101, 475, 674, 748, 
129, 2103, 479, 671, 736, 
130, 2109, 469, 672, 742, 
131, 2092, 478, 670, 738, 
132, 2108, 475, 672, 746, 
133, 2094, 479, 677, 749, 
134, 2095, 468, 672, 732, 
135, 2102, 467, 682, 739, 
136, 2094, 481, 666, 736, 
137, 2102, 485, 672, 735, 
138, 2100, 478, 666, 732, 
139, 2095, 470, 665, 739, 
140, 2092, 475, 672, 734, 
141, 2105, 467, 668, 744, 
142, 2093, 484, 676, 737, 
143, 2091, 482, 670, 734, 
144, 2097, 476, 674, 731, 
145, 2107, 479, 676, 737, 
