nbElements: 200
index, hauteurTotale, hauteurGondSommet, hauteurInterGonds, largeur, 
0, 2102, 473, 675, 730, 
1, 2100, 476, 671, 742, 
2, 2110, 470, 684, 732, 
3, 2093, 469, 682, 747, 
4, 2109, 467, 671, 742, 
5, 2104, 473, 681, 736, 
6, 2110, 474, 670, 741, 
7, 2093, 468, 685, 744, 
8, 2091, 484, 667, 734, 
9, 2096, 466, 673, 747, 
10, 2093, 478, 667, 739, 
11, 2106, 481, 675, 740, 
12, 2105, 472, 668, 745, 
13, 2108, 473, 668, 735, 
14, 2101, 476, 685, 735, 
15, 2110, 480, 668, 747, 
16, 2091, 473, 674, 730, 
17, 2099, 485, 682, 737, 
18, 2093, 475, 679, 739, 
19, 2100, 471, 670, 734, 
20, 2100, 485, 672, 737, 
21, 2090, 467, 685, 738, 
22, 2106, 471, 672, 738, 
23, 2105, 476, 681, 733, 
24, 2103, 472, 673, 730, 
25, 2098, 473, 665, 730, 
26, 2101, 480, 676, 731, 
27, 2095, 474, 675, 733, 
28, 2090, 482, 679, 732, 
29, 2109, 481, 670, 743, 
30, 2098, 465, 668, 736, 
31, 2104, 475, 672, 730, 
32, 2105, 474, 682, 732, 
33, 2108, 484, 676, 739, 
34, 2096, 470, 671, 730, 
35, 2092, 485, 673, 737, 
36, 2105, 481, 681, 738, 
37, 2097, 472, 678, 747, 
38, 2103, 474, 674, 748, 
39, 2099, 465, 676, 736, 
40, 2108, 469, 669, 737, 
41, 2109, 480, 669, 750, 
42, 2100, 467, 674, 730, 
43, 2099, 474, 669, 749, 
44, 2110, 474, 672, 732, 
45, 2105, 474, 672, 749, 
46, 2091, 483, 680, 742, 
47, 2098, 478, 677, 745, 
48, 2091, 466, 681, 746, 
49, 2107, 466, 673, 732, 
50, 2093, 477, 682, 741, 
51, 2090, 465, 678, 740, 
52, 2100, 484, 684, 736, 
53, 2091, 467, 674, 750, 
54, 2096, 485, 674, 743, 
55, 2101, 484, 671, 738, 
56, 2092, 473, 669, 745, 
57, 2090, 465, 666, 744, 
58, 2093, 480, 674, 740, 
59, 2090, 469, 675, 750, 
60, 2092, 483, 668, 741, 
61, 2098, 480, 681, 738, 
62, 2093, 466, 684, 748, 
63, 2093, 467, 669, 732, 
64, 2104, 477, 683, 736, 
65, 2094, 479, 682, 747, 
66, 2101, 475, 665, 744, 
67, 2094, 481, 685, 740, 
68, 2092, 467, 670, 735, 
69, 2102, 470, 681, 749, 
70, 2104, 479, 672, 744, 
71, 2091, 480, 671, 737, 
72, 2104, 476, 679, 737, 
73, 2090, 484, 673, 734, 
74, 2092, 480, 683, 745, 
75, 2102, 481, 667, 745, 
76, 2106, 468, 677, 745, 
77, 2099, 475, 669, 739, 
78, 2101, 470, 669, 736, 
79, 2098, 479, 665, 732, 
80, 2090, 476, 668, 749, 
81, 2109, 467, 675, 746, 
82, 2095, 481, 681, 747, 
83, 2105, 469, 675, 734, 
84, 2102, 478, 665, 731, 
85, 2103, 473, 667, 739, 
86, 2095, 478, 679, 739, 
87, 2109, 478, 677, 734, 
